=== Worker2.txt (Worker Node 2 Log) ===
============================================================
Worker2 | Thread-based Worker | Ready Queue max=10
============================================================

[0.00] WORKER2 | INIT | INFO | 워커 Thread 시작, 마스터 연결 시도
[0.00] WORKER2 | CONNECT | SUCCESS | 마스터 연결, 대기열 초기화 (0/10)
[3.00] WORKER2 | RECV | INFO | KV[0003] 일반 작업 수신, 대기열=1/10
[7.00] WORKER2 | RECV | INFO | KV[0007] 일반 작업 수신, 대기열=1/10
[10.00] WORKER2 | RECV | INFO | KV[0010] 일반 작업 수신, 대기열=1/10
[15.00] WORKER2 | RECV | INFO | KV[0015] 일반 작업 수신, 대기열=1/10
[19.00] WORKER2 | RECV | INFO | KV[0019] 일반 작업 수신, 대기열=1/10
[22.00] WORKER2 | RECV | INFO | KV[0022] 일반 작업 수신, 대기열=1/10
[27.00] WORKER2 | RECV | INFO | KV[0027] 일반 작업 수신, 대기열=1/10
[31.00] WORKER2 | RECV | INFO | KV[0031] 일반 작업 수신, 대기열=1/10
[34.00] WORKER2 | RECV | INFO | KV[0034] 일반 작업 수신, 대기열=1/10
[39.00] WORKER2 | RECV | INFO | KV[0039] 일반 작업 수신, 대기열=1/10
[42.15] WORKER2 | PROC | FAIL | KV[0003] 처리 실패, 20% 규칙
[43.15] WORKER2 | RECV | INFO | KV[0003] 우선 재시도 작업 수신, 대기열=1/10
[44.15] WORKER2 | RECV | INFO | KV[0041] 일반 작업 수신, 대기열=1/10
[45.15] WORKER2 | RECV | INFO | KV[0042] 일반 작업 수신, 대기열=1/10
[46.15] WORKER2 | RECV | INFO | KV[0043] 일반 작업 수신, 대기열=1/10
[47.15] WORKER2 | RECV | INFO | KV[0044] 일반 작업 수신, 대기열=1/10
[48.15] WORKER2 | RECV | INFO | KV[0045] 일반 작업 수신, 대기열=1/10
[49.15] WORKER2 | RECV | INFO | KV[0046] 일반 작업 수신, 대기열=1/10
[50.15] WORKER2 | RECV | INFO | KV[0047] 일반 작업 수신, 대기열=1/10
[51.15] WORKER2 | RECV | INFO | KV[0048] 일반 작업 수신, 대기열=1/10
[52.15] WORKER2 | RECV | INFO | KV[0049] 일반 작업 수신, 대기열=1/10
[90.33] WORKER2 | RECV | INFO | KV[0080] 일반 작업 수신, 대기열=1/10
[91.33] WORKER2 | RECV | INFO | KV[0081] 일반 작업 수신, 대기열=1/10
[92.33] WORKER2 | RECV | INFO | KV[0082] 일반 작업 수신, 대기열=1/10
[93.33] WORKER2 | RECV | INFO | KV[0083] 일반 작업 수신, 대기열=1/10
[94.33] WORKER2 | RECV | INFO | KV[0084] 일반 작업 수신, 대기열=1/10
[95.33] WORKER2 | RECV | INFO | KV[0085] 일반 작업 수신, 대기열=1/10
[96.33] WORKER2 | RECV | INFO | KV[0086] 일반 작업 수신, 대기열=1/10
[97.33] WORKER2 | RECV | INFO | KV[0087] 일반 작업 수신, 대기열=1/10
[98.33] WORKER2 | RECV | INFO | KV[0088] 일반 작업 수신, 대기열=1/10
[99.33] WORKER2 | RECV | INFO | KV[0089] 일반 작업 수신, 대기열=1/10
[100.33] WORKER2 | RECV | INFO | KV[0090] 일반 작업 수신, 대기열=1/10
[101.33] WORKER2 | RECV | INFO | KV[0091] 일반 작업 수신, 대기열=1/10
[102.33] WORKER2 | RECV | INFO | KV[0092] 일반 작업 수신, 대기열=1/10
[103.33] WORKER2 | RECV | INFO | KV[0093] 일반 작업 수신, 대기열=1/10
[104.33] WORKER2 | RECV | INFO | KV[0094] 일반 작업 수신, 대기열=1/10
[105.33] WORKER2 | RECV | INFO | KV[0095] 일반 작업 수신, 대기열=1/10
[106.33] WORKER2 | RECV | INFO | KV[0096] 일반 작업 수신, 대기열=1/10
[107.33] WORKER2 | RECV | INFO | KV[0097] 일반 작업 수신, 대기열=1/10
[108.33] WORKER2 | RECV | INFO | KV[0098] 일반 작업 수신, 대기열=1/10
